cEE,cH2,cNG,cCO2,TRL,EI,Technology
0.01,0.1,0.035,80,Medium: 6 - 7,0.06,4
0.01,0.1,0.035,150,Medium: 6 - 7,0.06,4
0.01,0.1,0.035,250,Medium: 6 - 7,0.06,4
0.01,0.1,0.035,350,Medium: 6 - 7,0.06,4
0.01,0.1,0.075,80,Medium: 6 - 7,0.06,4
0.01,0.1,0.075,150,Medium: 6 - 7,0.06,4
0.01,0.1,0.075,250,Medium: 6 - 7,0.06,4
0.01,0.1,0.075,350,Medium: 6 - 7,0.06,4
0.01,0.1,0.1,80,Medium: 6 - 7,0.06,4
0.01,0.1,0.1,150,Medium: 6 - 7,0.06,4
0.01,0.1,0.1,250,Medium: 6 - 7,0.06,4
0.01,0.1,0.1,350,Medium: 6 - 7,0.06,4
0.01,0.125,0.01,80,Medium: 6 - 7,0.06,4
0.01,0.125,0.01,150,Medium: 6 - 7,0.06,4
0.01,0.125,0.01,250,Medium: 6 - 7,0.06,4
0.01,0.125,0.01,350,Medium: 6 - 7,0.06,4
0.01,0.125,0.035,80,Medium: 6 - 7,0.06,4
0.01,0.125,0.035,150,Medium: 6 - 7,0.06,4
0.01,0.125,0.035,250,Medium: 6 - 7,0.06,4
0.01,0.125,0.035,350,Medium: 6 - 7,0.06,4
0.01,0.125,0.075,80,Medium: 6 - 7,0.06,4
0.01,0.125,0.075,150,Medium: 6 - 7,0.06,4
0.01,0.125,0.075,250,Medium: 6 - 7,0.06,4
0.01,0.125,0.075,350,Medium: 6 - 7,0.06,4
0.01,0.125,0.1,80,Medium: 6 - 7,0.06,4
0.01,0.125,0.1,150,Medium: 6 - 7,0.06,4
0.01,0.125,0.1,250,Medium: 6 - 7,0.06,4
0.01,0.125,0.1,350,Medium: 6 - 7,0.06,4
0.01,0.15,0.01,80,Medium: 6 - 7,0.06,4
0.01,0.15,0.01,150,Medium: 6 - 7,0.06,4
0.01,0.15,0.01,250,Medium: 6 - 7,0.06,4
0.01,0.15,0.01,350,Medium: 6 - 7,0.06,4
0.01,0.15,0.035,80,Medium: 6 - 7,0.06,4
0.01,0.15,0.035,150,Medium: 6 - 7,0.06,4
0.01,0.15,0.035,250,Medium: 6 - 7,0.06,4
0.01,0.15,0.035,350,Medium: 6 - 7,0.06,4
0.01,0.15,0.075,80,Medium: 6 - 7,0.06,4
0.01,0.15,0.075,150,Medium: 6 - 7,0.06,4
0.01,0.15,0.075,250,Medium: 6 - 7,0.06,4
0.01,0.15,0.075,350,Medium: 6 - 7,0.06,4
0.01,0.15,0.1,80,Medium: 6 - 7,0.06,4
0.01,0.15,0.1,150,Medium: 6 - 7,0.06,4
0.01,0.15,0.1,250,Medium: 6 - 7,0.06,4
0.01,0.15,0.1,350,Medium: 6 - 7,0.06,4
0.01,0.175,0.01,80,Medium: 6 - 7,0.06,4
0.01,0.175,0.01,150,Medium: 6 - 7,0.06,4
0.01,0.175,0.01,250,Medium: 6 - 7,0.06,4
0.01,0.175,0.01,350,Medium: 6 - 7,0.06,4
0.01,0.175,0.035,80,Medium: 6 - 7,0.06,4
0.01,0.175,0.035,150,Medium: 6 - 7,0.06,4
0.01,0.175,0.035,250,Medium: 6 - 7,0.06,4
0.01,0.175,0.035,350,Medium: 6 - 7,0.06,4
0.01,0.175,0.075,80,Medium: 6 - 7,0.06,4
0.01,0.175,0.075,150,Medium: 6 - 7,0.06,4
0.01,0.175,0.075,250,Medium: 6 - 7,0.06,4
0.01,0.175,0.075,350,Medium: 6 - 7,0.06,4
0.01,0.175,0.1,80,Medium: 6 - 7,0.06,4
0.01,0.175,0.1,150,Medium: 6 - 7,0.06,4
0.01,0.175,0.1,250,Medium: 6 - 7,0.06,4
0.01,0.175,0.1,350,Medium: 6 - 7,0.06,4
0.01,0.2,0.01,80,Medium: 6 - 7,0.06,4
0.01,0.2,0.01,150,Medium: 6 - 7,0.06,4
0.01,0.2,0.01,250,Medium: 6 - 7,0.06,4
0.01,0.2,0.01,350,Medium: 6 - 7,0.06,4
0.01,0.2,0.035,80,Medium: 6 - 7,0.06,4
0.01,0.2,0.035,150,Medium: 6 - 7,0.06,4
0.01,0.2,0.035,250,Medium: 6 - 7,0.06,4
0.01,0.2,0.035,350,Medium: 6 - 7,0.06,4
0.01,0.2,0.075,80,Medium: 6 - 7,0.06,4
0.01,0.2,0.075,150,Medium: 6 - 7,0.06,4
0.01,0.2,0.075,250,Medium: 6 - 7,0.06,4
0.01,0.2,0.075,350,Medium: 6 - 7,0.06,4
0.01,0.2,0.1,80,Medium: 6 - 7,0.06,4
0.01,0.2,0.1,150,Medium: 6 - 7,0.06,4
0.01,0.2,0.1,250,Medium: 6 - 7,0.06,4
0.01,0.2,0.1,350,High: 8,0.35,2
0.025,0.001,0.01,80,Low: 3 - 4,0.09,5
0.025,0.001,0.01,150,Low: 3 - 4,0.09,5
0.025,0.001,0.01,250,Low: 3 - 4,0.09,5
0.025,0.001,0.01,350,Low: 3 - 4,0.09,5
0.025,0.001,0.035,80,Low: 3 - 4,0.09,5
0.025,0.001,0.035,150,Low: 3 - 4,0.09,5
0.025,0.001,0.035,250,Low: 3 - 4,0.09,5
0.025,0.001,0.035,350,Low: 3 - 4,0.09,5
0.025,0.001,0.075,80,Low: 3 - 4,0.09,5
0.025,0.001,0.075,150,Low: 3 - 4,0.09,5
0.025,0.001,0.075,250,Low: 3 - 4,0.09,5
0.025,0.001,0.075,350,Low: 3 - 4,0.09,5
0.025,0.001,0.1,80,Low: 3 - 4,0.09,5
0.025,0.001,0.1,150,Low: 3 - 4,0.09,5
0.025,0.001,0.1,250,Low: 3 - 4,0.09,5
0.025,0.001,0.1,350,Low: 3 - 4,0.09,5
0.025,0.005,0.01,80,Low: 3 - 4,0.09,5
0.025,0.005,0.01,150,Low: 3 - 4,0.09,5
0.025,0.005,0.01,250,Low: 3 - 4,0.09,5
0.025,0.005,0.01,350,Low: 3 - 4,0.09,5
0.025,0.005,0.035,80,Low: 3 - 4,0.09,5
0.025,0.005,0.035,150,Low: 3 - 4,0.09,5
0.025,0.005,0.035,250,Low: 3 - 4,0.09,5
0.025,0.005,0.035,350,Low: 3 - 4,0.09,5
0.025,0.005,0.075,80,Low: 3 - 4,0.09,5
0.025,0.005,0.075,150,Low: 3 - 4,0.09,5
0.025,0.005,0.075,250,Low: 3 - 4,0.09,5
0.025,0.005,0.075,350,Low: 3 - 4,0.09,5
0.025,0.005,0.1,80,Low: 3 - 4,0.09,5
0.025,0.005,0.1,150,Low: 3 - 4,0.09,5
0.025,0.005,0.1,250,Low: 3 - 4,0.09,5
0.025,0.005,0.1,350,Low: 3 - 4,0.09,5
0.025,0.01,0.01,80,High: 8,0.35,2
0.025,0.01,0.01,150,Low: 3 - 4,0.09,5
0.025,0.01,0.01,250,Low: 3 - 4,0.09,5
0.025,0.01,0.01,350,Low: 3 - 4,0.09,5
0.025,0.01,0.035,80,Low: 3 - 4,0.09,5
0.025,0.01,0.035,150,Low: 3 - 4,0.09,5
0.025,0.01,0.035,250,Low: 3 - 4,0.09,5
0.025,0.01,0.035,350,Low: 3 - 4,0.09,5
0.025,0.01,0.075,80,Low: 3 - 4,0.09,5
0.025,0.01,0.075,150,Low: 3 - 4,0.09,5
0.025,0.01,0.075,250,Low: 3 - 4,0.09,5
0.025,0.01,0.075,350,Low: 3 - 4,0.09,5
0.025,0.01,0.1,80,Low: 3 - 4,0.09,5
0.025,0.01,0.1,150,Low: 3 - 4,0.09,5
0.025,0.01,0.1,250,Low: 3 - 4,0.09,5
0.025,0.01,0.1,350,High: 8,0.35,2
0.025,0.025,0.01,80,High: 8,0.35,2
0.025,0.025,0.01,150,High: 8,0.35,2
0.025,0.025,0.01,250,High: 8,0.35,2
0.025,0.025,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.025,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.025,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.025,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.025,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.025,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.025,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.025,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.025,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.025,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.025,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.025,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.025,0.1,350,High: 8,0.35,2
0.025,0.05,0.01,80,High: 8,0.35,2
0.025,0.05,0.01,150,High: 8,0.35,2
0.025,0.05,0.01,250,High: 8,0.35,2
0.025,0.05,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.05,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.05,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.05,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.05,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.05,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.05,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.05,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.05,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.05,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.05,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.05,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.05,0.1,350,High: 8,0.35,2
0.025,0.075,0.01,80,High: 8,0.35,2
0.025,0.075,0.01,150,High: 8,0.35,2
0.025,0.075,0.01,250,High: 8,0.35,2
0.025,0.075,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.075,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.075,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.075,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.075,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.075,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.075,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.075,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.075,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.075,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.075,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.075,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.075,0.1,350,High: 8,0.35,2
0.025,0.1,0.01,80,High: 8,0.35,2
0.025,0.1,0.01,150,High: 8,0.35,2
0.025,0.1,0.01,250,High: 8,0.35,2
0.025,0.1,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.1,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.1,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.1,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.1,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.1,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.1,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.1,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.1,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.1,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.1,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.1,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.1,0.1,350,High: 8,0.35,2
0.025,0.125,0.01,80,High: 8,0.35,2
0.025,0.125,0.01,150,High: 8,0.35,2
0.025,0.125,0.01,250,High: 8,0.35,2
0.025,0.125,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.125,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.125,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.125,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.125,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.125,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.125,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.125,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.125,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.125,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.125,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.125,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.125,0.1,350,High: 8,0.35,2
0.025,0.15,0.01,80,High: 8,0.35,2
0.025,0.15,0.01,150,High: 8,0.35,2
0.025,0.15,0.01,250,High: 8,0.35,2
0.025,0.15,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.15,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.15,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.15,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.15,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.15,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.15,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.15,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.15,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.15,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.15,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.15,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.15,0.1,350,High: 8,0.35,2
0.025,0.175,0.01,80,High: 8,0.35,2
0.025,0.175,0.01,150,High: 8,0.35,2
0.025,0.175,0.01,250,High: 8,0.35,2
0.025,0.175,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.175,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.175,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.175,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.175,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.175,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.175,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.175,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.175,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.175,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.175,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.175,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.175,0.1,350,High: 8,0.35,2
0.025,0.2,0.01,80,High: 8,0.35,2
0.025,0.2,0.01,150,High: 8,0.35,2
0.025,0.2,0.01,250,High: 8,0.35,2
0.025,0.2,0.01,350,Medium: 6 - 7,0.06,4
0.025,0.2,0.035,80,Medium: 6 - 7,0.06,4
0.025,0.2,0.035,150,Medium: 6 - 7,0.06,4
0.025,0.2,0.035,250,Medium: 6 - 7,0.06,4
0.025,0.2,0.035,350,Medium: 6 - 7,0.06,4
0.025,0.2,0.075,80,Medium: 6 - 7,0.06,4
0.025,0.2,0.075,150,Medium: 6 - 7,0.06,4
0.025,0.2,0.075,250,Medium: 6 - 7,0.06,4
0.025,0.2,0.075,350,Medium: 6 - 7,0.06,4
0.025,0.2,0.1,80,Medium: 6 - 7,0.06,4
0.025,0.2,0.1,150,Medium: 6 - 7,0.06,4
0.025,0.2,0.1,250,Medium: 6 - 7,0.06,4
0.025,0.2,0.1,350,High: 8,0.35,2
0.05,0.001,0.01,80,Low: 3 - 4,0.09,5
0.05,0.001,0.01,150,Low: 3 - 4,0.09,5
0.05,0.001,0.01,250,Low: 3 - 4,0.09,5
0.05,0.001,0.01,350,Low: 3 - 4,0.09,5
0.05,0.001,0.035,80,Low: 3 - 4,0.09,5
0.05,0.001,0.035,150,Low: 3 - 4,0.09,5
0.05,0.001,0.035,250,Low: 3 - 4,0.09,5
0.05,0.001,0.035,350,Low: 3 - 4,0.09,5
0.05,0.001,0.075,80,Low: 3 - 4,0.09,5
0.05,0.001,0.075,150,Low: 3 - 4,0.09,5
0.05,0.001,0.075,250,Low: 3 - 4,0.09,5
0.05,0.001,0.075,350,Low: 3 - 4,0.09,5
0.05,0.001,0.1,80,Low: 3 - 4,0.09,5
0.05,0.001,0.1,150,Low: 3 - 4,0.09,5
0.05,0.001,0.1,250,Low: 3 - 4,0.09,5
0.05,0.001,0.1,350,Low: 3 - 4,0.09,5
0.05,0.005,0.01,80,Low: 3 - 4,0.09,5
0.05,0.005,0.01,150,Low: 3 - 4,0.09,5
0.05,0.005,0.01,250,Low: 3 - 4,0.09,5
0.05,0.005,0.01,350,Low: 3 - 4,0.09,5
0.05,0.005,0.035,80,Low: 3 - 4,0.09,5
0.05,0.005,0.035,150,Low: 3 - 4,0.09,5
0.05,0.005,0.035,250,Low: 3 - 4,0.09,5
0.05,0.005,0.035,350,Low: 3 - 4,0.09,5
0.05,0.005,0.075,80,Low: 3 - 4,0.09,5
0.05,0.005,0.075,150,Low: 3 - 4,0.09,5
0.05,0.005,0.075,250,Low: 3 - 4,0.09,5
0.05,0.005,0.075,350,Low: 3 - 4,0.09,5
0.05,0.005,0.1,80,Low: 3 - 4,0.09,5
0.05,0.005,0.1,150,Low: 3 - 4,0.09,5
0.05,0.005,0.1,250,Low: 3 - 4,0.09,5
0.05,0.005,0.1,350,Low: 3 - 4,0.09,5
0.05,0.01,0.01,80,Low: 3 - 4,0.09,5
0.05,0.01,0.01,150,Low: 3 - 4,0.09,5
0.05,0.01,0.01,250,Low: 3 - 4,0.09,5
0.05,0.01,0.01,350,Low: 3 - 4,0.09,5
0.05,0.01,0.035,80,Low: 3 - 4,0.09,5
0.05,0.01,0.035,150,Low: 3 - 4,0.09,5
0.05,0.01,0.035,250,Low: 3 - 4,0.09,5
0.05,0.01,0.035,350,Low: 3 - 4,0.09,5
0.05,0.01,0.075,80,Low: 3 - 4,0.09,5
0.05,0.01,0.075,150,Low: 3 - 4,0.09,5
0.05,0.01,0.075,250,Low: 3 - 4,0.09,5
0.05,0.01,0.075,350,Low: 3 - 4,0.09,5
0.05,0.01,0.1,80,Low: 3 - 4,0.09,5
0.05,0.01,0.1,150,Low: 3 - 4,0.09,5
0.05,0.01,0.1,250,Low: 3 - 4,0.09,5
0.05,0.01,0.1,350,Low: 3 - 4,0.09,5
0.05,0.025,0.01,80,High: 8,0.35,2
0.05,0.025,0.01,150,High: 8,0.35,2
0.05,0.025,0.01,250,High: 8,0.35,2
0.05,0.025,0.01,350,Low: 3 - 4,0.09,5
0.05,0.025,0.035,80,Low: 3 - 4,0.09,5
0.05,0.025,0.035,150,Low: 3 - 4,0.09,5
0.05,0.025,0.035,250,Low: 3 - 4,0.09,5
0.05,0.025,0.035,350,Low: 3 - 4,0.09,5
0.05,0.025,0.075,80,Low: 3 - 4,0.09,5
0.05,0.025,0.075,150,Low: 3 - 4,0.09,5
0.05,0.025,0.075,250,Low: 3 - 4,0.09,5
0.05,0.025,0.075,350,Low: 3 - 4,0.09,5
0.05,0.025,0.1,80,Low: 3 - 4,0.09,5
0.05,0.025,0.1,150,Low: 3 - 4,0.09,5
0.05,0.025,0.1,250,Low: 3 - 4,0.09,5
0.05,0.025,0.1,350,High: 8,0.35,2
0.05,0.05,0.01,80,High: 8,0.35,2
0.05,0.05,0.01,150,High: 8,0.35,2
0.05,0.05,0.01,250,High: 8,0.35,2
0.05,0.05,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.05,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.05,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.05,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.05,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.05,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.05,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.05,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.05,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.05,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.05,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.05,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.05,0.1,350,High: 8,0.35,2
0.05,0.075,0.01,80,High: 8,0.35,2
0.05,0.075,0.01,150,High: 8,0.35,2
0.05,0.075,0.01,250,High: 8,0.35,2
0.05,0.075,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.075,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.075,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.075,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.075,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.075,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.075,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.075,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.075,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.075,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.075,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.075,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.075,0.1,350,High: 8,0.35,2
0.05,0.1,0.01,80,High: 8,0.35,2
0.05,0.1,0.01,150,High: 8,0.35,2
0.05,0.1,0.01,250,High: 8,0.35,2
0.05,0.1,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.1,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.1,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.1,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.1,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.1,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.1,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.1,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.1,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.1,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.1,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.1,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.1,0.1,350,High: 8,0.35,2
0.05,0.125,0.01,80,High: 8,0.35,2
0.05,0.125,0.01,150,High: 8,0.35,2
0.05,0.125,0.01,250,High: 8,0.35,2
0.05,0.125,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.125,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.125,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.125,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.125,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.125,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.125,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.125,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.125,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.125,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.125,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.125,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.125,0.1,350,High: 8,0.35,2
0.05,0.15,0.01,80,High: 8,0.35,2
0.05,0.15,0.01,150,High: 8,0.35,2
0.05,0.15,0.01,250,High: 8,0.35,2
0.05,0.15,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.15,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.15,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.15,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.15,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.15,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.15,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.15,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.15,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.15,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.15,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.15,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.15,0.1,350,High: 8,0.35,2
0.05,0.175,0.01,80,High: 8,0.35,2
0.05,0.175,0.01,150,High: 8,0.35,2
0.05,0.175,0.01,250,High: 8,0.35,2
0.05,0.175,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.175,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.175,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.175,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.175,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.175,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.175,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.175,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.175,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.175,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.175,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.175,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.175,0.1,350,High: 8,0.35,2
0.05,0.2,0.01,80,High: 8,0.35,2
0.05,0.2,0.01,150,High: 8,0.35,2
0.05,0.2,0.01,250,High: 8,0.35,2
0.05,0.2,0.01,350,Medium: 6 - 7,0.27,3
0.05,0.2,0.035,80,Medium: 6 - 7,0.27,3
0.05,0.2,0.035,150,Medium: 6 - 7,0.27,3
0.05,0.2,0.035,250,Medium: 6 - 7,0.27,3
0.05,0.2,0.035,350,Medium: 6 - 7,0.06,4
0.05,0.2,0.075,80,Medium: 6 - 7,0.06,4
0.05,0.2,0.075,150,Medium: 6 - 7,0.06,4
0.05,0.2,0.075,250,Medium: 6 - 7,0.06,4
0.05,0.2,0.075,350,Medium: 6 - 7,0.06,4
0.05,0.2,0.1,80,Medium: 6 - 7,0.06,4
0.05,0.2,0.1,150,Medium: 6 - 7,0.06,4
0.05,0.2,0.1,250,Medium: 6 - 7,0.06,4
0.05,0.2,0.1,350,High: 9,0.47,1
0.075,0.001,0.01,80,Low: 3 - 4,0.09,5
0.075,0.001,0.01,150,Low: 3 - 4,0.09,5
0.075,0.001,0.01,250,Low: 3 - 4,0.09,5
0.075,0.001,0.01,350,Low: 3 - 4,0.09,5
0.075,0.001,0.035,80,Low: 3 - 4,0.09,5
0.075,0.001,0.035,150,Low: 3 - 4,0.09,5
0.075,0.001,0.035,250,Low: 3 - 4,0.09,5
0.075,0.001,0.035,350,Low: 3 - 4,0.09,5
0.075,0.001,0.075,80,Low: 3 - 4,0.09,5
0.075,0.001,0.075,150,Low: 3 - 4,0.09,5
0.075,0.001,0.075,250,Low: 3 - 4,0.09,5
0.075,0.001,0.075,350,Low: 3 - 4,0.09,5
0.075,0.001,0.1,80,Low: 3 - 4,0.09,5
0.075,0.001,0.1,150,Low: 3 - 4,0.09,5
0.075,0.001,0.1,250,Low: 3 - 4,0.09,5
0.075,0.001,0.1,350,Low: 3 - 4,0.09,5
0.075,0.005,0.01,80,Low: 3 - 4,0.09,5
0.075,0.005,0.01,150,Low: 3 - 4,0.09,5
0.075,0.005,0.01,250,Low: 3 - 4,0.09,5
0.075,0.005,0.01,350,Low: 3 - 4,0.09,5
0.075,0.005,0.035,80,Low: 3 - 4,0.09,5
0.075,0.005,0.035,150,Low: 3 - 4,0.09,5
0.075,0.005,0.035,250,Low: 3 - 4,0.09,5
0.075,0.005,0.035,350,Low: 3 - 4,0.09,5
0.075,0.005,0.075,80,Low: 3 - 4,0.09,5
0.075,0.005,0.075,150,Low: 3 - 4,0.09,5
0.075,0.005,0.075,250,Low: 3 - 4,0.09,5
0.075,0.005,0.075,350,Low: 3 - 4,0.09,5
0.075,0.005,0.1,80,Low: 3 - 4,0.09,5
0.075,0.005,0.1,150,Low: 3 - 4,0.09,5
0.075,0.005,0.1,250,Low: 3 - 4,0.09,5
0.075,0.005,0.1,350,Low: 3 - 4,0.09,5
0.075,0.01,0.01,80,Low: 3 - 4,0.09,5
0.075,0.01,0.01,150,Low: 3 - 4,0.09,5
0.075,0.01,0.01,250,Low: 3 - 4,0.09,5
0.075,0.01,0.01,350,Low: 3 - 4,0.09,5
0.075,0.01,0.035,80,Low: 3 - 4,0.09,5
0.075,0.01,0.035,150,Low: 3 - 4,0.09,5
0.075,0.01,0.035,250,Low: 3 - 4,0.09,5
0.075,0.01,0.035,350,Low: 3 - 4,0.09,5
